Date,Mode,Category,Subcategory,Note,Amount,Type,Currency
2018-03-08,Saving Bank account 1,Apparel,Laundry,clothes ironing,91.0,Expense,INR
2018-03-08,Cash,Food,Bread,Flatbread 12 pcs,40.0,Expense,INR
2018-03-08,Cash,Food,Eggs,6 eggs,36.0,Expense,INR
2018-03-08,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-03-07,Saving Bank account 1,Festivals,Holi,Holi Tip to cleaner,20.0,Expense,INR
2018-03-07,Saving Bank account 1,Food,snacks,2 Vadapav,30.0,Expense,INR
2018-03-06,Cash,Health,Medicine,Thyroid Tablets,172.0,Expense,INR
2018-03-06,Cash,Health,Medicine,5 Meftal spas,22.0,Expense,INR
2018-03-06,Saving Bank account 1,Education,Stationary,Xerox,4.0,Expense,INR
2018-03-06,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-03-06,Credit Card,Documents,Courier,Aadhar PUC card delivery,50.0,Expense,INR
2018-03-05,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
2018-03-05,Saving Bank account 1,Food,flour mill,M D sure 3kg atta,162.0,Expense,INR
2018-03-05,Credit Card,Household,Kirana,Supermart,1357.0,Expense,INR
2018-03-05,Credit Card,Household,Kirana,Smart point,972.0,Expense,INR
2018-03-04,Cash,Food,Lunch,Catering Service,130.0,Expense,INR
2018-03-03,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-03-02,Saving Bank account 1,Food,Ice cream,chocobar,15.0,Expense,INR
2018-03-01,Credit Card,Food,Dinner,Domino's Pizza,189.0,Expense,INR
2018-03-01,Cash,Food,Eggs,6 eggs,36.0,Expense,INR
2018-02-28,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-02-28,Saving Bank account 1,Food,Milk,Half lit Varna milk,36.0,Expense,INR
2018-02-28,Credit Card,Food,Onions,onion 1 kg,30.0,Expense,INR
2018-02-28,Credit Card,Food,Potato,potato 1kg,18.0,Expense,INR
2018-02-27,Credit Card,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
2018-02-27,Cash,Food,Lunch,5 chapati,30.0,Expense,INR
2018-02-26,Saving Bank account 1,Food,Milk,1 lit ,73.0,Expense,INR
2018-02-26,Saving Bank account 1,Household,Toiletries,Mirror repair,140.0,Expense,INR
2018-02-26,Credit Card,Transportation,Bike,First servicing,443.0,Expense,INR
2018-02-26,Saving Bank account 1,Food,beverage,chaas,17.0,Expense,INR
2018-02-24,Saving Bank account 1,Food,Bread,Flatbread 12 pcs,40.0,Expense,INR
2018-02-23,Cash,Health,Medicine,Refresh Tears Drop,128.0,Expense,INR
2018-02-23,Saving Bank account 1,Food,Rajgira ladu,1 packet,20.0,Expense,INR
2018-02-23,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
2018-02-22,Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
2018-02-22,Saving Bank account 1,Food,beverage,Limca,20.0,Expense,INR
2018-02-22,Saving Bank account 1,Food,Onions,onion 1 kg,20.0,Expense,INR
2018-02-22,Saving Bank account 1,Food,Lunch,Catering Service,192.0,Expense,INR
2018-02-20,Saving Bank account 1,Household,Appliances,Kitchen fan + installation+ repair,2600.0,Expense,INR
2018-02-19,Saving Bank account 1,Beauty,grooming,hair cut+shaving,170.0,Expense,INR
2018-02-19,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
2018-02-19,Saving Bank account 1,Food,snacks,2 kachori,24.0,Expense,INR
2018-02-17,Credit Card,Food,Dinner,BBQ,1783.0,Expense,INR
2018-02-17,Cash,Transportation,Bike,Mall parking,20.0,Expense,INR
2018-02-17,Cash,Food,Lunch,5 chapati,30.0,Expense,INR
2018-02-16,Saving Bank account 1,Food,snacks,banana chips,45.0,Expense,INR
2018-02-16,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-02-16,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
2018-02-15,Saving Bank account 1,Food,Ice cream,chocobar,35.0,Expense,INR
2018-02-15,Saving Bank account 1,Food,Grocery,Half kg tomato + methi 1 judi,30.0,Expense,INR
2018-02-15,Credit Card,Household,Kirana,Supermart,117.0,Expense,INR
2018-02-14,Saving Bank account 1,Food,snacks,1 chicken shawarma,60.0,Expense,INR
2018-02-13,Credit Card,Food,Potato,potato 1kg,25.0,Expense,INR
2018-02-13,Saving Bank account 1,Food,Bread,Bread,35.0,Expense,INR
2018-02-13,Saving Bank account 1,Food,Grocery,Amul cheese,72.0,Expense,INR
2018-02-13,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
2018-02-12,Saving Bank account 1,Food,Eggs,6 eggs,36.0,Expense,INR
2018-02-12,Saving Bank account 1,Food,curd,3 packets,30.0,Expense,INR
2018-02-12,Cash,Food,flour mill,M D sure 3kg atta,162.0,Expense,INR
2018-02-11,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
2018-02-11,Cash,Food,Dinner,pav Bhaji,235.0,Expense,INR
2018-02-11,Cash,Food,snacks,Vadapav,15.0,Expense,INR
2018-02-11,Cash,Transportation,Train,Place 0 to Place 3 returns,40.0,Expense,INR
2018-02-11,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2018-02-10,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-02-09,Saving Bank account 1,Apparel,Laundry,clothes ironing,98.0,Expense,INR
2018-02-08,Saving Bank account 1,Food,snacks,Shev Puri,35.0,Expense,INR
2018-02-08,Saving Bank account 1,Food,Onions,onion 1 kg,25.0,Expense,INR
2018-02-08,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-02-06,Credit Card,Culture,Movie,2 PVR Place 6,312.0,Expense,INR
2018-02-05,Saving Bank account 1,Food,Grocery,Raw chicken half kg,220.0,Expense,INR
2018-02-05,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-02-05,Saving Bank account 1,Food,Milk,1 packet,69.0,Expense,INR
2018-02-04,Credit Card,Food,Dinner,Domino's Pizza,452.0,Expense,INR
2018-02-04,Saving Bank account 1,Food,Lunch,Catering Service,50.0,Expense,INR
2018-02-04,Saving Bank account 1,Food,Milk,Half lit  milk,35.0,Expense,INR
2018-02-03,Saving Bank account 1,Food,Ice cream,chocobar,10.0,Expense,INR
2018-02-03,Credit Card,Transportation,Travels,Place 2 to Place 1 - Shree Sharma Travels,945.0,Expense,INR
2018-02-02,Saving Bank account 1,Food,Lunch,Catering Service,82.0,Expense,INR
2018-02-01,Saving Bank account 1,Food,fruits,8 bananas,30.0,Expense,INR
2018-02-01,Saving Bank account 1,Food,vegetables,Half kg tomato,15.0,Expense,INR
2018-01-31,Cash,Food,Dinner,At restaurant,320.0,Expense,INR
2018-01-31,Saving Bank account 1,Transportation,Bike,Parking sticker,50.0,Expense,INR
2018-01-31,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-30,Saving Bank account 1,Household,Kitchen,Matchbox packet 10pcs,10.0,Expense,INR
2018-01-30,Saving Bank account 1,Food,Grocery,Dahi 2 packets,20.0,Expense,INR
2018-01-29,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-01-29,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
2018-01-29,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-28,Saving Bank account 1,Food,snacks,2 kachori,24.0,Expense,INR
2018-01-28,Credit Card,Household,Kirana,Smart point,976.9,Expense,INR
2018-01-28,Credit Card,Household,Kirana,Supermart,764.0,Expense,INR
2018-01-27,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux third installment,43000.0,Expense,INR
2018-01-26,Cash,Transportation,auto,Place 0 to Current Residence,15.0,Expense,INR
2018-01-26,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-01-26,Credit Card,Apparel,Clothing,Pyjama (999)+ carry bag (10),1009.0,Expense,INR
2018-01-26,Saving Bank account 1,Food,Rajgira ladu,1 packet,20.0,Expense,INR
2018-01-26,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-26,Cash,Food,Potato,potato 1kg,25.0,Expense,INR
2018-01-26,Cash,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
2018-01-25,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
2018-01-24,Cash,Food,Milk,Half lit  milk,35.0,Expense,INR
2018-01-23,Credit Card,Household,Kirana,Smart point,273.0,Expense,INR
2018-01-22,Saving Bank account 1,Food,flour mill,2 kg Bajari,14.0,Expense,INR
2018-01-22,Cash,Food,flour mill,M D sure 3kg atta,162.0,Expense,INR
2018-01-22,Saving Bank account 1,Health,Medicine,Cough-sills 4 pcs + sinarest 3 pcs,30.0,Expense,INR
2018-01-22,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-21,Credit Card,Food,Dinner,Home Food Delivery,384.0,Expense,INR
2018-01-20,Saving Bank account 1,Food,Biscuits,crack-jack 1 packi,10.0,Expense,INR
2018-01-20,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,179.0,Expense,INR
2018-01-19,Saving Bank account 1,Food,Bread,Flatbread 6 pcs,17.0,Expense,INR
2018-01-19,Saving Bank account 1,Household,Kirana,Amul butter,53.0,Expense,INR
2018-01-19,Cash,Food,Bread,Flatbread 6 pcs,20.0,Expense,INR
2018-01-19,Cash,Household,Kirana,Cakes,46.0,Expense,INR
2018-01-18,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux second installment,50000.0,Expense,INR
2018-01-18,Credit Card,Food,Lunch,Fresh veggie pizza,219.0,Expense,INR
2018-01-18,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
2018-01-18,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-16,Cash,Household,Kirana,Bhagar 1kg 130 + idli pith 1kg 35,165.0,Expense,INR
2018-01-16,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-16,Credit Card,Social Life,Leisure,Marathon,298.0,Expense,INR
2018-01-15,Credit Card,Food,Sweets,Chitale Srikhand,284.0,Expense,INR
2018-01-15,Cash,Food,Grocery,onion 1 kg + half kg potato,38.0,Expense,INR
2018-01-15,Cash,Transportation,Train,Place 0 to Place 3 returns,40.0,Expense,INR
2018-01-15,Saving Bank account 1,Transportation,auto,Uber auto: Place 4 Station to Current Residence society,266.0,Expense,INR
2018-01-14,Cash,Transportation,Train,Place 0 to Santacruz return,40.0,Expense,INR
2018-01-14,Credit Card,Household,Hardware,Vibrating electronic message tool,798.0,Expense,INR
2018-01-14,Cash,Transportation,auto,station to Decathlon,20.0,Expense,INR
2018-01-14,Cash,Transportation,auto,Decathlon to station,25.0,Expense,INR
2018-01-14,Credit Card,Apparel,Clothing,Head band,199.0,Expense,INR
2018-01-14,Cash,Transportation,auto,Pali hill to Bandra station,23.0,Expense,INR
2018-01-14,Cash,Transportation,auto,mumbai University Kalina to Santacruz station,40.0,Expense,INR
2018-01-14,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2018-01-13,Cash,Health,Medicine,Thyroid Tablets,740.0,Expense,INR
2018-01-13,Saving Bank account 1,Apparel,Laundry,clothes ironing,80.0,Expense,INR
2018-01-12,Credit Card,Household,Kirana,Smart point,226.0,Expense,INR
2018-01-12,Cash,Health,Lab Tests,Family Thyroid Test,500.0,Expense,INR
2018-01-11,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
2018-01-11,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-10,Saving Bank account 1,Food,Rajgira ladu,2 packets,40.0,Expense,INR
2018-01-09,Cash,Food,Bread,Flatbread 12 pcs,34.0,Expense,INR
2018-01-09,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-08,Cash,Food,snacks,Vadapav,20.0,Expense,INR
2018-01-08,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1399.0,Expense,INR
2018-01-08,Saving Bank account 1,Food,flour mill,M D sure 2kg atta,104.0,Expense,INR
2018-01-08,Cash,Household,Kirana,Harpik 1L,165.0,Expense,INR
2018-01-07,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
2018-01-07,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-01-06,Cash,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
2018-01-06,Saving Bank account 1,Household,Appliances,5 litres can Distilled water,100.0,Expense,INR
2018-01-06,Cash,Food,curd,2 cups,20.0,Expense,INR
2018-01-06,Cash,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-04,Cash,Household,Kirana,Cockroach injection,270.0,Expense,INR
2018-01-04,Cash,Household,Kirana,Nandadip oil bottle,130.0,Expense,INR
2018-01-04,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
2018-01-04,Saving Bank account 1,Documents,Updation,Aadhar Address Change,50.0,Expense,INR
2018-01-03,Credit Card,Food,Dinner,Wok express + Domino's,681.0,Expense,INR
2018-01-03,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux booking amount,1000.0,Expense,INR
2018-01-03,Saving Bank account 1,Food,Eggs,6 eggs,40.0,Expense,INR
2018-01-03,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-02,Credit Card,Household,Kirana,Supermart,1140.0,Expense,INR
2018-01-02,Cash,Health,Medicine,Refresh Tears Drop,158.0,Expense,INR
2018-01-01,Credit Card,subscription,Amazon Prime,Amazon pay cashback 1017 + Rs.482,482.0,Expense,INR
2018-01-01,Cash,Food,Ice cream,Raspberry dolly,15.0,Expense,INR
2018-01-01,Credit Card,Household,gadgets,Logitech mouse,599.0,Expense,INR
2018-01-01,Cash,Food,Milk,1 lit ,69.0,Expense,INR
2017-12-31,Cash,Food,Bread,Flatbread 24 pcs,30.0,Expense,INR
2017-12-30,Cash,Food,vegetables,Dudhi 20 + mirchi 5,25.0,Expense,INR
2017-12-29,Saving Bank account 1,Family,misc,For utensils,450.0,Expense,INR
2017-12-29,Cash,Food,snacks,3 pavwada,30.0,Expense,INR
2017-12-29,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
2017-12-28,Cash,Food,vegetables,Ginger,10.0,Expense,INR
2017-12-27,Cash,Food,Grocery,Tata salt 28+ 6 eggs 42,70.0,Expense,INR
2017-12-26,Credit Card,subscription,Newspaper,"ET Prime (1+1) till 24 Dec,2024",1749.0,Expense,INR
2017-12-25,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,Expense,INR
2017-12-25,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
2017-12-25,Cash,Transportation,auto,Place 2 station to Permanent Residence,80.0,Expense,INR
2017-12-24,Saving Bank account 1,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
2017-12-24,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
2017-12-24,Cash,Household,Toiletries,Toothbrush (buy 2 get 1),100.0,Expense,INR
2017-12-24,Saving Bank account 1,Food,Milk,Half lit  milk,35.0,Expense,INR
2017-12-22,Saving Bank account 1,Food,Lunch,Home Food Delivery,380.0,Expense,INR
2017-12-21,Saving Bank account 1,Food,snacks,Vadapav,15.0,Expense,INR
2017-12-21,Cash,Household,Kirana,Surti kolam 2kg (54rsx2)+Monaco biscuits,118.0,Expense,INR
2017-12-21,Cash,Food,Lunch,Catering Service,65.0,Expense,INR
2017-12-21,Cash,Food,Milk,milk 1lit ,70.0,Expense,INR
2017-12-20,Cash,Food,Lunch,Catering Service,95.0,Expense,INR
2017-12-20,Credit Card,subscription,Edtech Course,Renewal,28400.0,Expense,INR
2017-12-19,Cash,Food,snacks,Chicken Frankie,45.0,Expense,INR
2017-12-19,Cash,Transportation,Train,Place 0 to WS return,10.0,Expense,INR
2017-12-19,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
2017-12-18,Credit Card,Apparel,Clothing,undergarment single,312.0,Expense,INR
2017-12-17,Credit Card,Food,Dinner,At restaurant,505.0,Expense,INR
2017-12-17,Cash,Transportation,auto,within city,30.0,Expense,INR
2017-12-17,Credit Card,Household,Kirana,Dmart,878.0,Expense,INR
2017-12-17,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
2017-12-17,Cash,Transportation,auto,college to inorbit,25.0,Expense,INR
2017-12-17,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2017-12-17,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2017-12-16,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
2017-12-15,Cash,Food,Ice cream,chocobar,15.0,Expense,INR
2017-12-14,Cash,Food,Grocery,Paneer + 1 kg onion,145.0,Expense,INR
2017-12-13,Cash,Apparel,Laundry,clothes ironing,98.0,Expense,INR
2017-12-13,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
2017-12-12,Cash,Food,Eggs,6 eggs,40.0,Expense,INR
2017-12-12,Credit Card,Food,snacks,Double chicken shwarma,100.0,Expense,INR
2017-12-12,Cash,Food,Lunch,Catering Service,80.0,Expense,INR
2017-12-10,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
2017-12-10,Saving Bank account 1,Food,Lunch,Catering Service,65.0,Expense,INR
2017-12-09,Cash,Food,Lunch,Catering Service,85.0,Expense,INR
2017-12-08,Saving Bank account 1,Food,Dinner,Home Food Delivery - roti 17*4+ paneer chatpata 190+ veg crispy 150,408.0,Expense,INR
2017-12-07,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
2017-12-06,Saving Bank account 1,Food,Lunch,Catering Service,125.0,Expense,INR
2017-12-05,Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,100.0,Expense,INR
2017-12-04,Credit Card,Household,Kirana,Smart point,937.0,Expense,INR
2017-12-04,Credit Card,Household,Kirana,Supermart,990.0,Expense,INR
2017-12-04,Cash,Food,snacks,Amul butter,50.0,Expense,INR
2017-12-04,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
2017-12-03,Cash,Food,snacks,Shev Puri,30.0,Expense,INR
2017-12-03,Saving Bank account 1,Food,Lunch,Home Food Delivery - Chicken lollypop 8 pcs 190 + chicken manchow soup 100,290.0,Expense,INR
2017-12-03,Cash,Beauty,grooming,hair cut+shaving,160.0,Expense,INR
2017-12-02,Saving Bank account 1,Food,Ice cream,chocobar,35.0,Expense,INR
2017-12-02,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
2017-12-01,Saving Bank account 1,Food,Lunch,Catering Service ( 5 methi paranthe),125.0,Expense,INR
2017-12-01,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2017-11-30,Saving Bank account 1,Health,Medicine,5 Meftal spas,22.0,Expense,INR
2017-11-30,Saving Bank account 1,Health,Health,Glasses remaining,800.0,Expense,INR
2017-11-30,Credit Card,Health,Health,Family's Glasses,22700.0,Expense,INR
2017-11-30,Cash,Family,Pocket money,Change,50.0,Expense,INR
2017-11-28,Saving Bank account 1,Food,Bread,Sweet bread cake pav kg,90.0,Expense,INR
2017-11-28,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
2017-11-28,Credit Card,Household,Kirana,Toast+ biscuits,115.0,Expense,INR
2017-11-28,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2017-11-27,Saving Bank account 1,Health,Health,Glasses advance,1000.0,Expense,INR
2017-11-27,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
2017-11-27,Cash,Transportation,auto,Place 6 station to  mall,30.0,Expense,INR
2017-11-27,Cash,Transportation,Train,1 Place 0 to Place 6,5.0,Expense,INR
2017-11-27,Credit Card,Apparel,Footwear,Sandals Hush puppies,2699.0,Expense,INR
2017-11-26,Cash,Transportation,auto,eye institute to Place 6 station,40.0,Expense,INR
2017-11-26,Credit Card,Health,Medicine,eye drop,159.0,Expense,INR
2017-11-26,Cash,Transportation,auto,Place 6 station to eye institute,40.0,Expense,INR
2017-11-26,Saving Bank account 1,Health,Hospital,"Routine checkup - eye institute, Place 6",400.0,Expense,INR
2017-11-26,Cash,Transportation,Train,1 Place 0 to Place 6 return,10.0,Expense,INR
2017-11-25,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,Expense,INR
2017-11-25,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2017-11-25,Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,90.0,Expense,INR
2017-11-25,Cash,Food,vegetables,Half kg tomato,10.0,Expense,INR
2017-11-24,Credit Card,Culture,Movie,2 PVR Place 6,314.0,Expense,INR
2017-11-23,Cash,Food,Bread,Flatbread 8 pcs,23.0,Expense,INR
2017-11-23,Cash,Food,Grocery,Dahi + remaining balance,17.0,Expense,INR
2017-11-23,Cash,Food,flour mill,3 kg Bajari,21.0,Expense,INR
2017-11-23,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2017-11-20,Saving Bank account 1,Food,Milk,milk 1lit ,70.0,Expense,INR
2017-11-19,Saving Bank account 1,Food,snacks,1 Panipuri,20.0,Expense,INR
2017-11-19,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
2017-11-19,Cash,Transportation,Train,2 Place 0 to Place 6 return,20.0,Expense,INR
2017-11-19,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
2017-11-19,Credit Card,Culture,Movie,2 PVR Place 6,436.0,Expense,INR
2017-11-18,Credit Card,Household,Kirana,Khobra + shengdana+ vim bar,242.0,Expense,INR
2017-11-18,Saving Bank account 1,Food,Eggs,6 eggs,39.0,Expense,INR
2017-11-18,Saving Bank account 1,Food,Milk,1.5 lit milk ,104.0,Expense,INR
2017-11-17,Saving Bank account 1,Food,Ice cream,Vanila family pack,105.0,Expense,INR
2017-11-17,Saving Bank account 1,Household,Kirana,Agarbatti 55 + dahi 25,80.0,Expense,INR
2017-11-17,Saving Bank account 1,Food,flour mill,4 kg Gehu,28.0,Expense,INR
2017-11-16,Saving Bank account 1,Food,Milk,1 lit ,70.0,Expense,INR
2017-11-15,Credit Card,Food,Dinner,Home Food Delivery,524.0,Expense,INR
2017-11-15,Saving Bank account 1,Household,Kirana,Toast 55 + Kisan Jam 85 + all out 75,209.0,Expense,INR
2017-11-15,Saving Bank account 1,Education,Stationary,Photo paper print,45.0,Expense,INR
2017-11-15,Saving Bank account 1,Food,Bread,brown bread,25.0,Expense,INR
2017-11-15,Credit Card,Household,Kirana,Amul butter 52 + Good Day biscuits 43,95.0,Expense,INR
2017-11-14,Saving Bank account 1,Food,Grocery,vegetables,160.0,Expense,INR
2017-11-13,Saving Bank account 1,Household,Kirana,Pani Puri packet + Bundi + chivda,180.0,Expense,INR
2017-11-13,Saving Bank account 1,Food,Milk,milk 1lit varna,70.0,Expense,INR
2017-11-13,Saving Bank account 1,Food,Grocery,onion 1 kg + half kg potato,50.0,Expense,INR
2017-11-13,Credit Card,Household,Kirana,Maggie + lizol,268.0,Expense,INR
2017-11-13,Saving Bank account 1,Food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR
2017-11-12,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
2017-11-12,Credit Card,Food,Dinner,At restaurant,1525.0,Expense,INR
2017-11-12,Credit Card,Household,Appliances,USB cord,130.0,Expense,INR
2017-11-12,Cash,Household,Appliances,Screwdriver 2,120.0,Expense,INR
2017-11-12,Cash,Transportation,auto,Place P station to Alfa market,34.0,Expense,INR
2017-11-12,Cash,Transportation,Train,Place 4 station to Place P return,30.0,Expense,INR
2017-11-12,Cash,Transportation,Train,Place 0 to Place P return,40.0,Expense,INR
2017-11-11,Saving Bank account 1,Food,Eggs,6 eggs,39.0,Expense,INR
2017-11-11,Saving Bank account 1,Food,Milk,Half lit  milk,26.0,Expense,INR
2017-11-09,Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,72.0,Expense,INR
2017-11-09,Cash,Household,Toiletries,Colgate max fresh small,20.0,Expense,INR
2017-11-09,Saving Bank account 1,Health,Medicine,Acne Star cream,100.0,Expense,INR
2017-11-09,Saving Bank account 1,Food,Lunch,Bhendi bhaji,40.0,Expense,INR
2017-11-09,Saving Bank account 1,Food,Milk,1 lit ,70.0,Expense,INR
2017-11-08,Saving Bank account 1,Food,fruits,1 kg apple,130.0,Expense,INR
2017-11-07,Saving Bank account 1,Food,Milk,1 lit ,70.0,Expense,INR
2017-11-06,Cash,Food,Eggs,6 eggs,39.0,Expense,INR
2017-11-05,Cash,Transportation,auto,Place 0 to Current Residence,15.0,Expense,INR
2017-11-05,Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,200.0,Expense,INR
2017-11-02,Cash,Food,snacks,2 pavwada,20.0,Expense,INR
2017-11-01,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
2017-10-29,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
2017-10-29,Credit Card,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
2017-10-29,Credit Card,subscription,Hotstar,subscription 1yr,795.49,Expense,INR
2017-10-27,Cash,Transportation,auto,Permanent Residence to bus stand,40.0,Expense,INR
2017-10-26,Cash,Transportation,auto,within city,50.0,Expense,INR
2017-10-26,Cash,Festivals,Diwali,Offering,50.0,Expense,INR
2017-10-26,Cash,Festivals,Diwali,Offering,10.0,Expense,INR
2017-10-26,Cash,Festivals,Diwali,Offering,500.0,Expense,INR
2017-10-24,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
2017-10-24,Cash,Food,snacks,Dahi,10.0,Expense,INR
2017-10-23,Cash,Household,Toiletries,Shampoo sachets,9.0,Expense,INR
2017-10-23,Cash,Apparel,Footwear,Slippers,220.0,Expense,INR
2017-10-23,Cash,Festivals,Diwali,Aakash kandil,200.0,Expense,INR
2017-10-23,Cash,Household,Toiletries,Dettol liquid handwash refill,99.0,Expense,INR
2017-10-23,Cash,Household,Kitchen,flour mill,27.0,Expense,INR
2017-10-23,Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,191.0,Expense,INR
2017-10-22,Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,50.0,Expense,INR
2017-10-21,Cash,Food,Grocery,Onion half kg 13 + milkybar 10 + Colgate maxfresh 10,33.0,Expense,INR
2017-10-20,Cash,Festivals,Diwali,Rangoli + stamp,20.0,Expense,INR
2017-10-19,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
2017-10-18,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1333.0,Expense,INR
2017-10-18,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1231.0,Expense,INR
2017-10-11,Saving Bank account 1,Transportation,train,Place 2 to Place 3 sevagram,658.6,Expense,INR
2017-10-10,Cash,Household,Kitchen,flour mill,14.0,Expense,INR
2017-10-09,Cash,Food,Grocery,vegetables,280.0,Expense,INR
2017-10-09,Saving Bank account 1,subscription,Wifi Internet Service,1 Year Plan (40mbps + UL+ 3 Months Free),5640.0,Expense,INR
2017-10-08,Credit Card,Family,clothes,Fab India,3198.0,Expense,INR
2017-10-04,Saving Bank account 1,Health,Medicine,Boroline + band aid,50.0,Expense,INR
2017-10-02,Credit Card,Household,Kirana,Supermart,3055.0,Expense,INR
